timestamp,ticker,action,quantity,exchange,price,commission
1980-12-31 00:00:00,AAPL,BOT,1200000,ARCA,34.13,6000.0
1981-03-31 00:00:00,AAPL,SLD,18803334,ARCA,24.5,94016.67
1981-04-30 00:00:00,AAPL,BOT,1332186598,ARCA,28.38,6660932.99
1981-06-30 00:00:00,AAPL,SLD,6560395578,ARCA,26.0,32801977.89
1981-07-31 00:00:00,AAPL,BOT,433647885131,ARCA,25.0,2168239425.655
1981-08-31 00:00:00,AAPL,SLD,4646000283342,ARCA,20.13,23230001416.71
1981-09-30 00:00:00,AAPL,BOT,387921760597556,ARCA,15.25,1939608802987.78
1981-11-30 00:00:00,AAPL,BOT,2333589273812609,ARCA,18.63,11667946369063.045
1981-12-31 00:00:00,AAPL,BOT,16883375290559138,ARCA,22.13,84416876452795.69
1982-03-31 00:00:00,AAPL,SLD,240860532538427776,ARCA,16.88,1204302662692139.0
1982-04-30 00:00:00,AAPL,BOT,19053224172299493376,ARCA,14.75,9.526612086149747e+16
1982-06-30 00:00:00,AAPL,SLD,142065909912885542912,ARCA,12.75,7.103295495644278e+17
1982-08-31 00:00:00,AAPL,BOT,8455921534517597175808,ARCA,18.0,4.2279607672587985e+19
1982-09-30 00:00:00,AAPL,SLD,4300155152588901711872,ARCA,18.25,2.1500775762944508e+19
1982-11-30 00:00:00,AAPL,BOT,68422645343696772399104,ARCA,31.88,3.4211322671848384e+20
1982-12-31 00:00:00,AAPL,SLD,119263397922419490422784,ARCA,29.87,5.963169896120974e+20
1983-01-31 00:00:00,AAPL,BOT,3323099367921624901746688,ARCA,40.87,1.6615496839608123e+22
1983-02-28 00:00:00,AAPL,BOT,11292042206714395203993600,ARCA,45.62,5.646021103357198e+22
1983-03-31 00:00:00,AAPL,SLD,45932390925464310944628736,ARCA,42.25,2.2966195462732155e+23
1983-05-31 00:00:00,AAPL,BOT,2222258106266809582797979648,ARCA,57.75,1.1111290531334048e+25
1983-06-30 00:00:00,AAPL,SLD,18320326572106614466787934208,ARCA,48.88,9.160163286053308e+25
1983-08-31 00:00:00,AAPL,BOT,1510436089883864968843598233600,ARCA,37.25,7.552180449419325e+27
1983-09-30 00:00:00,AAPL,SLD,39106149513082692888840625979392,ARCA,23.13,1.9553074756541345e+29
1983-10-31 00:00:00,AAPL,BOT,3127810062332161580473764469014528,ARCA,22.63,1.5639050311660809e+31
1983-11-30 00:00:00,AAPL,SLD,18178583012449042431436331176427520,ARCA,20.38,9.089291506224522e+31
1984-01-31 00:00:00,AAPL,BOT,1106932255704278114755244593661345792,ARCA,24.75,5.534661278521391e+33
1984-02-29 00:00:00,AAPL,BOT,1365146760773609513275814710463168512,ARCA,26.25,6.825733803868048e+33
1984-04-30 00:00:00,AAPL,BOT,16077415484686583024853581519124430848,ARCA,31.38,8.038707742343291e+34
1984-05-31 00:00:00,AAPL,SLD,50673726937574963135311310734227406848,ARCA,29.37,2.533686346878748e+35
1984-07-31 00:00:00,AAPL,BOT,2779820349615229999481737059093352284160,ARCA,25.5,1.389910174807615e+37
1984-08-31 00:00:00,AAPL,BOT,1218140643979863235713092108338390368256,ARCA,26.5,6.090703219899317e+36
1984-10-31 00:00:00,AAPL,SLD,10254051816758533462540928289432204738560,ARCA,24.87,5.127025908379267e+37
1984-11-30 00:00:00,AAPL,BOT,505898447814217654419889282555405259505664,ARCA,24.75,2.5294922390710885e+39
1984-12-31 00:00:00,AAPL,BOT,2523529357074867527464661068457589524660224,ARCA,29.12,1.2617646785374339e+40
1985-01-31 00:00:00,AAPL,SLD,471634768062882393609181966361616074145792,ARCA,29.0,2.358173840314412e+39
1985-02-28 00:00:00,AAPL,SLD,17174761818764625528842004407618620121677824,ARCA,24.75,8.587380909382314e+40
1985-04-30 00:00:00,AAPL,BOT,1298945076862236161179771808825740609963687936,ARCA,21.25,6.49472538431118e+42
1985-05-31 00:00:00,AAPL,SLD,12991948604705484781322320638816342369191854080,ARCA,17.37,6.495974302352742e+43
1985-07-31 00:00:00,AAPL,BOT,1013812824819582982423320199749388185213438263296,ARCA,15.88,5.069064124097915e+45
1985-09-30 00:00:00,AAPL,SLD,1505647669643189259351364206584151947547263369216,ARCA,15.75,7.528238348215946e+45
1985-10-31 00:00:00,AAPL,BOT,38517324464315193701369138341203153414214362595328,ARCA,18.62,1.92586622321576e+47
1985-12-31 00:00:00,AAPL,BOT,207034330552517711099372411531522070905926696566784,ARCA,22.0,1.0351716527625886e+48
1986-01-31 00:00:00,AAPL,BOT,475852964955481948301982250488356601275924132921344,ARCA,23.12,2.3792648247774097e+48
1986-02-28 00:00:00,AAPL,BOT,2138178544845340421790973001701622057594814680006656,ARCA,25.0,1.0690892724226704e+49
1986-03-31 00:00:00,AAPL,BOT,12922633744428797405024483169523573400091680592363520,ARCA,28.25,6.461316872214399e+49
1986-04-30 00:00:00,AAPL,BOT,40952718472346366388599879922069636151932977481252864,ARCA,30.25,2.0476359236173182e+50
1986-06-30 00:00:00,AAPL,BOT,352809579574045413339979511381306606196899001231474688,ARCA,35.88,1.764047897870227e+51
1986-07-31 00:00:00,AAPL,SLD,2413257797453789428801254162351435557845286481018486784,ARCA,31.25,1.2066288987268947e+52
1986-09-30 00:00:00,AAPL,BOT,158973780056871537804214095761746455873106001841222582272,ARCA,33.5,7.948689002843577e+53
1986-10-31 00:00:00,AAPL,BOT,39410950696395200508775264449898477008364443820454051840,ARCA,34.63,1.97054753481976e+53
1986-12-31 00:00:00,AAPL,BOT,1123641160070188239215938997297285745531153049210868203520,ARCA,40.5,5.618205800350941e+54
1987-03-31 00:00:00,AAPL,BOT,19527656190703284354260252882861396451269432852490963910656,ARCA,64.5,9.763828095351642e+55
1987-04-30 00:00:00,AAPL,BOT,153752828824621066055024952174583496490229166971884603965440,ARCA,79.25,7.687641441231053e+56
1987-06-30 00:00:00,AAPL,SLD,3387616859686248263970743786857218765566375130031610908377088,ARCA,40.5,1.6938084298431242e+58
1987-07-31 00:00:00,AAPL,BOT,129223401283849115316077598599083309944654311380443403198136320,ARCA,41.25,6.461170064192456e+59
1987-08-31 00:00:00,AAPL,BOT,430660386521634719130871308469894663567294222189583074391490560,ARCA,54.0,2.1533019326081737e+60
1987-09-30 00:00:00,AAPL,BOT,484450444442390369756748530290269701769936375200736938800709632,ARCA,56.5,2.422252222211952e+60
1987-11-30 00:00:00,AAPL,SLD,14242617879248455999289938022604608351688904231689251640213241856,ARCA,33.0,7.121308939624228e+61
1987-12-31 00:00:00,AAPL,BOT,481820170265905216205429310792447189150007894568905611990135734272,ARCA,42.0,2.4091008513295263e+63
1988-02-29 00:00:00,AAPL,SLD,392524991474470887781477251105393978187627192830805878590901583872,ARCA,43.0,1.9626249573723546e+63
1988-03-31 00:00:00,AAPL,SLD,110973704398926994444764287417349386348415331409177339924853030912,ARCA,40.0,5.54868521994635e+62
1988-05-31 00:00:00,AAPL,BOT,1387557210424385155260435733654364732961490070937544215878938132480,ARCA,41.5,6.937786052121925e+63
1988-06-30 00:00:00,AAPL,BOT,1316471812466646579834494435348144627075087401908168666888152285184,ARCA,46.25,6.582359062333233e+63
1988-08-31 00:00:00,AAPL,SLD,7674656350904520173353301266889241260850539986734030769125576409088,ARCA,39.88,3.83732817545226e+64
1988-09-30 00:00:00,AAPL,BOT,193908699522060252791684203343951956337385810469336972026092965593088,ARCA,43.25,9.695434976103014e+65
1988-10-31 00:00:00,AAPL,SLD,659975257115520739845995601206921916995449028183615819677498062405632,ARCA,38.63,3.299876285577604e+66
1988-11-30 00:00:00,AAPL,BOT,19230590460577079423808712060240482789853899034815152382356789963784192,ARCA,37.63,9.61529523028854e+67
